player_id,player_name,club,date_joined,date_left,fee,prev_club,next_club,transfer_type,season
49717,James Wallace,Tranmere,2017-01-15,2018-07-20,Free,Sheff Utd,Fleetwood,Transfer,2016/17
32157,Jamie McGuire,Tranmere,2002-07-01,2004-05-31,Trainee,Trainee,Cammel Laird,Trainee,2002/03
134764,Jamie Timlin,Tranmere,2020-09-01,2022-07-01,Unknown,,,Unknown,2020/21
74169,Janoi Donacien,Tranmere,2014-08-18,2015-01-04,Loan,Aston Villa,,Loan,2014/15
74169,Janoi Donacien,Tranmere,2015-03-06,2015-05-03,Loan,Aston Villa,,Loan,2014/15
13834,Jason Koumas,Tranmere,1998-02-20,2002-08-29,Trainee,Trainee,West Brom,Trainee,1997/98
13834,Jason Koumas,Tranmere,2013-08-02,2015-07-10,Free,Wigan,,Transfer,2013/14
4961,Jason McAteer,Tranmere,2004-07-19,2007-05-31,Free,Sunderland,,Transfer,2004/05
65749,Jason Mooney,Tranmere,2012-07-26,2014-05-29,Free,Wycombe,York,Transfer,2012/13
9299,Jason Price,Tranmere,2001-11-08,2003-07-03,Free,Brentford,Hull,Transfer,2001/02
114197,Jay Devine,Tranmere,2018-07-01,2019-01-01,Unknown,,Marine,Unknown,2018/19
43779,Jay Harris,Tranmere,2015-07-01,2019-07-02,Free,Wrexham,Macclesfield,Transfer,2015/16
49806,Jay Spearing,Tranmere,2020-08-05,2022-07-01,Free,Blackpool,Liverpool U21,Transfer,2020/21
144533,Jay Turner-Cook,Tranmere,2023-01-31,2023-05-09,Loan,N'castle U21,,Loan,2022/23
41945,Jeff Hughes,Tranmere,2016-01-02,2016-06-01,Loan,Cambridge U,,Loan,2015/16
41945,Jeff Hughes,Tranmere,2016-07-01,2018-07-01,Free,Cambridge U,Larne,Transfer,2016/17
4118,Jeff Kenna,Tranmere,2001-03-20,2001-05-08,Loan,Blackburn,,Loan,2000/01
44584,Jennison Myrie-Williams,Tranmere,2007-11-22,2008-04-06,Loan,Bristol C,,Loan,2007/08
44584,Jennison Myrie-Williams,Tranmere,2015-01-20,2015-04-19,Loan,Scunthorpe,,Loan,2014/15
51365,Jermaine Grandison,Tranmere,2010-08-31,2011-01-02,Loan,Coventry,,Loan,2010/11
36254,Jim McNulty,Tranmere,2013-10-01,2014-01-02,Loan,Barnsley,,Loan,2013/14
128728,Joe Blackham,Tranmere,2020-01-06,2021-07-01,Unknown,,,Unknown,2019/20
